Country,Type,Event,Date.effective,Link,X
Iowa,travel_restrictions,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
Iowa,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
Iowa,sport,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
Iowa,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
Iowa,Self-isolating if ill,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
Iowa,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
Kansas,Schools + Universities,placeholder,18.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kansas,travel_restrictions,placeholder,30.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kansas,Public events,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kansas,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kansas,Lockdown,placeholder,28.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kansas,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kansas,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas#Government_response,placeholder
Kentucky,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
Kentucky,travel_restrictions,placeholder,26.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
Kentucky,Public events,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
Kentucky,sport,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
Kentucky,Lockdown,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
Kentucky,Self-isolating if ill,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
Kentucky,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kentucky,placeholder
